UNIT NBR;MOVE KIND;CARRIER VISIT;CA;LOAI PTVT;LOAI CAU BEN;STS QUAY;TIME STS QUAY;GAP DELAY;REASON;TIME COMPLETED;PUT CHE NAME;TIME OF FETCH;FETCH CHE NAME;CARRY CHE NAME;FROM POSITION;TO POSITION;UNIT TYPE ISO;UNIT VGM VERIFIED;LINE OP;STS YARD;STS YARD TIME;STS CARRY;STS CARRY START TIME;STS CARRY END TIME;RESTOW REASON
SEGU2320173;DISCHARGE;MBK17N;D2 28/05/2026;VESSEL;CMIT QUAY;QC03;2026-05-28 18:00:30;1;;2026-05-28 18:12:30;RTG09;2026-05-28 18:00:30;QC03;TT19;V-MBK17N-030082;Y-CMIT-4G27C.3;22G1;FCL;ZIM;RTG09;28/18:12;TT19;2026-05-28 18:00:30;2026-05-28 18:12:30;
JXJU3248140;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC05;2026-05-28 17:59:30;1;;2026-05-28 18:10:30;RTG01;2026-05-28 17:59:30;QC05;TT35;V-MBK17N-190506;Y-CMIT-3J17B.2;22G1;FCL;ZIM;RTG01;28/18:10;TT35;2026-05-28 17:59:30;2026-05-28 18:10:30;
TGCU2085639;DISCHARGE;MBK17N;D2 28/05/2026;VESSEL;CMIT QUAY;QC03;2026-05-28 18:00:30;;;2026-05-28 18:10:30;RTG09;2026-05-28 18:00:30;QC03;TT19;V-MBK17N-010082;Y-CMIT-4G27G.3;22G1;FCL;ZIM;RTG09;28/18:10;TT19;2026-05-28 18:00:30;2026-05-28 18:10:30;
TEMU2347144;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC05;2026-05-28 17:58:30;3;;2026-05-28 18:09:30;RTG15;2026-05-28 17:58:30;QC05;TT13;V-MBK17N-190504;Y-CMIT-3E07F.3;22G1;FCL;ZIM;RTG15;28/18:09;TT13;2026-05-28 17:58:30;2026-05-28 18:09:30;
TGHU2750336;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC06;2026-05-28 17:39:30;2;;2026-05-28 18:09:30;RTG14;2026-05-28 17:39:30;QC06;TT24;V-MBK17N-270782;Y-CMIT-4E11D.3;22G1;FCL;ZIM;RTG14;28/18:09;TT24;2026-05-28 17:39:30;2026-05-28 18:09:30;
JXJU3422992;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC05;2026-05-28 17:59:30;;;2026-05-28 18:08:30;RTG01;2026-05-28 17:59:30;QC05;TT35;V-MBK17N-170506;Y-CMIT-3J17B.1;22G1;FCL;ZIM;RTG01;28/18:08;TT35;2026-05-28 17:59:30;2026-05-28 18:08:30;
GESU3923475;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC03;2026-05-28 17:59:30;2;;2026-05-28 18:07:30;RTG09;2026-05-28 17:59:30;QC03;TT37;V-MBK17N-030084;Y-CMIT-4G27D.2;22G1;FCL;ZIM;RTG09;28/18:07;TT37;2026-05-28 17:59:30;2026-05-28 18:07:30;
ZCSU7953051;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC03;2026-05-28 17:57:30;1;;2026-05-28 18:07:30;RTG05;2026-05-28 17:57:30;QC03;TT08;V-MBK17N-020182;Y-CMIT-4H02E.3;45G1;FCL;ZIM;RTG05;28/18:07;TT08;2026-05-28 17:57:30;2026-05-28 18:07:30;
FCIU4232724;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC06;2026-05-28 17:39:30;;;2026-05-28 18:07:30;RTG14;2026-05-28 17:39:30;QC06;TT24;V-MBK17N-250782;Y-CMIT-4E11C.3;22G1;FCL;ZIM;RTG14;28/18:07;TT24;2026-05-28 17:39:30;2026-05-28 18:07:30;
ZIMU3038565;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC05;2026-05-28 17:58:30;;;2026-05-28 18:07:30;RTG15;2026-05-28 17:58:30;QC05;TT13;V-MBK17N-170504;Y-CMIT-3E07G.3;22G1;FCL;ZIM;RTG15;28/18:07;TT13;2026-05-28 17:58:30;2026-05-28 18:07:30;
